filepaths,age,gender,race
./data/UTKFace\1_1_1_20170109194553059.jpg.chip.jpg,0,1,1
./data/UTKFace\4_1_4_20161221193349166.jpg.chip.jpg,0,1,4
./data/UTKFace\9_0_0_20170110220406314.jpg.chip.jpg,0,0,0
./data/UTKFace\4_1_3_20161219230310713.jpg.chip.jpg,0,1,3
./data/UTKFace\2_1_2_20161219142056888.jpg.chip.jpg,0,1,2
./data/UTKFace\1_1_0_20170109190852630.jpg.chip.jpg,0,1,0
./data/UTKFace\1_1_0_20170109191010113.jpg.chip.jpg,0,1,0
./data/UTKFace\2_0_2_20161219151454787.jpg.chip.jpg,0,0,2
./data/UTKFace\5_1_2_20161219192202650.jpg.chip.jpg,0,1,2
./data/UTKFace\1_0_3_20161220222459155.jpg.chip.jpg,0,0,3
./data/UTKFace\2_1_1_20170109194651472.jpg.chip.jpg,0,1,1
./data/UTKFace\1_0_2_20161219201312292.jpg.chip.jpg,0,0,2
./data/UTKFace\1_0_3_20161219225021361.jpg.chip.jpg,0,0,3
./data/UTKFace\8_1_0_20170109205329922.jpg.chip.jpg,0,1,0
./data/UTKFace\2_1_0_20170109194125822.jpg.chip.jpg,0,1,0
./data/UTKFace\1_0_2_20161219160747326.jpg.chip.jpg,0,0,2
./data/UTKFace\1_1_2_20161219161757030.jpg.chip.jpg,0,1,2
./data/UTKFace\2_1_0_20170110213155874.jpg.chip.jpg,0,1,0
./data/UTKFace\1_0_0_20161219205230805.jpg.chip.jpg,0,0,0
./data/UTKFace\2_0_4_20161221202417666.jpg.chip.jpg,0,0,4
./data/UTKFace\1_1_0_20161219154506229.jpg.chip.jpg,0,1,0
./data/UTKFace\1_1_3_20161220145228183.jpg.chip.jpg,0,1,3
./data/UTKFace\1_1_2_20161219220611473.jpg.chip.jpg,0,1,2
./data/UTKFace\1_0_3_20161219225519457.jpg.chip.jpg,0,0,3
./data/UTKFace\8_1_0_20170109201536853.jpg.chip.jpg,0,1,0
./data/UTKFace\4_1_0_20170109192357612.jpg.chip.jpg,0,1,0
./data/UTKFace\3_0_3_20161220222209691.jpg.chip.jpg,0,0,3
./data/UTKFace\1_0_3_20161220223014827.jpg.chip.jpg,0,0,3
./data/UTKFace\8_1_0_20170109203617429.jpg.chip.jpg,0,1,0
./data/UTKFace\9_0_0_20170110223500322.jpg.chip.jpg,0,0,0
./data/UTKFace\3_1_2_20161219190344451.jpg.chip.jpg,0,1,2
./data/UTKFace\1_1_4_20161221201921929.jpg.chip.jpg,0,1,4
